"Journal Data Filtered By:  Selected Categories: MEDICINE, GENERAL & INTERNAL;MEDICINE, RESEARCH & EXPERIMENTAL;CRITICAL CARE MEDICINE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"MedComm","MEDCOMM","WILEY","N/A","2688-2663","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","10,178","14.1","Q1","1.64","100"%,
"Cell Reports Medicine","CELL REP MED","CELL PRESS","2666-3791","2666-3791","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","15,797","14","Q1","2.33","99.73"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","ELSEVIER","0098-2997","1872-9452","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","10,413","13.8","Q1","1.24","42.07"%,
"Med","MED-CAMBRIDGE","CELL PRESS","2666-6359","2666-6340","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","3,592","13.3","Q1","2.72","36.65"%,
"Molecular Biomedicine","MOL BIOMED","SPRINGERNATURE","N/A","2662-8651","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","2,618","13","Q1","1.23","100"%,
"EClinicalMedicine","ECLINICALMEDICINE","ELSEVIER","N/A","2589-5370","MEDICINE, GENERAL & INTERNAL","SCIE","28,691","12.8","Q1","3.07","99.82"%,
"Journal of Translational Internal Medicine","J TRANSL INTERN MED","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","2450-131X","2224-4018","MEDICINE, GENERAL & INTERNAL","SCIE","2,111","12.5","Q1","1.93","93.98"%,
"Cancer Biology & Medicine","CANCER BIOL MED","CHINA ANTI-CANCER ASSOC","2095-3941","2095-3941","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","4,958","12.4","Q1","1.26","100"%,
"JAMA Network Open","JAMA NETW OPEN","AMER MEDICAL ASSOC","2574-3805","2574-3805","MEDICINE, GENERAL & INTERNAL","SCIE","100,474","11.7","Q1","3.13","99.94"%,
"NEJM Evidence","NEJM EVID","MASSACHUSETTS MEDICAL SOC","N/A","2766-5526","MEDICINE, GENERAL & INTERNAL","ESCI","4,480","11.6","Q1","3.56","1.18"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","ROCKEFELLER UNIV PRESS","0022-1007","1540-9538","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","60,274","11.6","Q1","2.42","43.04"%,
"MOLECULAR THERAPY","MOL THER","CELL PRESS","1525-0016","1525-0024","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","32,897","11.4","Q1","2.57","35.37"%,
"CRITICAL CARE","CRIT CARE","BMC","1364-8535","1466-609X","CRITICAL CARE MEDICINE","SCIE","42,427","11.4","Q1","2.18","100"%,
"EBioMedicine","EBIOMEDICINE","ELSEVIER","2352-3964","2352-3964","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","38,337","11.2","Q1","2.43","100"%,
"Cochrane Database of Systematic Reviews","COCHRANE DB SYST REV","WILEY","1469-493X","1361-6137","MEDICINE, GENERAL & INTERNAL","SCIE","81,381","11.1","Q1","1.78","1.29"%,
"BMJ Evidence-Based Medicine","BMJ EVID-BASED MED","BMJ PUBLISHING GROUP","2515-446X","2515-4478","MEDICINE, GENERAL & INTERNAL","SCIE","2,777","10.8","Q1","2.01","49.57"%,
"PLOS MEDICINE","PLOS MED","PUBLIC LIBRARY SCIENCE","1549-1277","1549-1676","MEDICINE, GENERAL & INTERNAL","SCIE","46,452","9.9","Q1","2.82","100"%,
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","WILEY","2190-5991","2190-6009","MEDICINE, GENERAL & INTERNAL","SCIE","17,703","9.9","Q1","2.07","100"%,
"CHEST","CHEST","ELSEVIER","0012-3692","1931-3543","CRITICAL CARE MEDICINE","SCIE","52,924","9.8","Q1","2.21","20.64"%,
"Journal of Translational Medicine","J TRANSL MED","BMC","N/A","1479-5876","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","45,171","9.7","Q1","1.8","99.97"%,
"BMJ Medicine","BMJ MED","BMJ PUBLISHING GROUP","N/A","2754-0413","MEDICINE, GENERAL & INTERNAL","ESCI","1,485","9.3","Q1","2.81","100"%,
"CHINESE MEDICAL JOURNAL","CHINESE MED J-PEKING","LIPPINCOTT WILLIAMS & WILKINS","0366-6999","2542-5641","MEDICINE, GENERAL & INTERNAL","SCIE","18,009","9.1","Q1","1.51","99.71"%,
"QJM-AN INTERNATIONAL JOURNAL OF MEDICINE","QJM-INT J MED","OXFORD UNIV PRESS","1460-2725","1460-2393","MEDICINE, GENERAL & INTERNAL","SCIE","6,592","8.9","Q1","1.04","27.21"%,
"BMC Medicine","BMC MED","BMC","1741-7015","1741-7015","MEDICINE, GENERAL & INTERNAL","SCIE","38,473","8.7","Q1","2.24","99.94"%,
"Deutsches Arzteblatt International","DTSCH ARZTEBL INT","DEUTSCHER AERZTE-VERLAG GMBH","1866-0452","1866-0452","MEDICINE, GENERAL & INTERNAL","SCIE","10,470","8.7","Q1","1.82","0.74"%,
"CANADIAN MEDICAL ASSOCIATION JOURNAL","CAN MED ASSOC J","CMA-CANADIAN MEDICAL ASSOC","0820-3946","1488-2329","MEDICINE, GENERAL & INTERNAL","SCIE","18,542","8.6","Q1","1.95","100"%,
"Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology","WIRES NANOMED NANOBI","WILEY","1939-5116","1939-0041","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","6,230","8.6","Q1","0.71","34.94"%,
"INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE","INT J MOL MED","SPANDIDOS PUBL LTD","1107-3756","1791-244X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","17,861","8.5","Q1","1.26","95.82"%,
"Molecular Therapy Oncology","MOL THER ONCOL","CELL PRESS","N/A","2950-3299","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","4,866","8.5","Q1","0.94","100"%,
"MOLECULAR MEDICINE","MOL MED","SPRINGER","1076-1551","1528-3658","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","11,517","8.3","Q1","1.26","100"%,
"European Journal of Internal Medicine","EUR J INTERN MED","ELSEVIER","0953-6205","1879-0828","MEDICINE, GENERAL & INTERNAL","SCIE","10,443","8.1","Q1","1.52","35.63"%,
"EMBO Molecular Medicine","EMBO MOL MED","SPRINGERNATURE","1757-4676","1757-4684","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","13,981","7.9","Q1","1.85","100"%,
"mAbs","MABS-AUSTIN","TAYLOR & FRANCIS INC","1942-0862","1942-0870","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,267","7.9","Q1","1.62","100"%,
"Clinical and Translational Medicine","CLIN TRANSL MED","WILEY","2001-1326","2001-1326","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","13,400","7.9","Q1","1.43","100"%,
"Chinese Medical Journal Pulmonary and Critical Care Medicine","CHIN MED J PULM CRIT","ELSEVIER","2097-1982","2772-5588","CRITICAL CARE MEDICINE","ESCI","516","7.9","Q1","1.33","96.3"%,
"AMERICAN JOURNAL OF CHINESE MEDICINE","AM J CHINESE MED","WORLD SCIENTIFIC PUBL CO PTE LTD","0192-415X","1793-6853","MEDICINE, GENERAL & INTERNAL","SCIE","6,797","7.8","Q1","1.67","2.55"%,
"European Heart Journal-Acute Cardiovascular Care","EUR HEART J-ACUTE CA","OXFORD UNIV PRESS","2048-8726","2048-8734","CRITICAL CARE MEDICINE","SCIE","3,810","7.8","Q1","1.33","22.77"%,
"Stem Cell Research & Therapy","STEM CELL RES THER","BMC","N/A","1757-6512","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","31,355","7.8","Q1","1.3","100"%,
"Inflammation and Regeneration","INFLAMM REGEN","BMC","N/A","1880-8190","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,529","7.7","Q1","1.08","100"%,
"Life Medicine","LIFE MED","OXFORD UNIV PRESS","N/A","2755-1733","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","586","7.7","Q1","0.77","100"%,
"JOURNAL OF INTERNAL MEDICINE","J INTERN MED","WILEY","0954-6820","1365-2796","MEDICINE, GENERAL & INTERNAL","SCIE","16,193","7.6","Q1","1.75","72.59"%,
"CRITICAL CARE MEDICINE","CRIT CARE MED","LIPPINCOTT WILLIAMS & WILKINS","0090-3493","1530-0293","CRITICAL CARE MEDICINE","SCIE","41,086","7.5","Q1","1.72","21.25"%,
"BRITISH MEDICAL BULLETIN","BRIT MED BULL","OXFORD UNIV PRESS","0007-1420","1471-8391","MEDICINE, GENERAL & INTERNAL","SCIE","6,305","7.5","Q1","1.41","57.53"%,
"Journal of Intensive Care","J INTENSIVE CARE","BMC","2052-0492","2052-0492","CRITICAL CARE MEDICINE","SCIE","3,341","7.5","Q1","1.19","100"%,
"Communications Medicine","COMMUN MED-LONDON","SPRINGERNATURE","2730-664X","2730-664X","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","5,278","7.4","Q1","1.57","99.9"%,
"CLINICAL SCIENCE","CLIN SCI","PORTLAND PRESS LTD","0143-5221","1470-8736","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","13,268","7.3","Q1","1.19","86.91"%,
"npj Vaccines","NPJ VACCINES","NATURE PORTFOLIO","N/A","2059-0105","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","6,659","7.2","Q1","1.44","100"%,
"EPMA Journal","EPMA J","SPRINGER INT PUBL AG","1878-5077","1878-5085","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,288","7","Q1","1.35","36.89"%,
"Annals of Intensive Care","ANN INTENSIVE CARE","ELSEVIER","2110-5820","2110-5820","CRITICAL CARE MEDICINE","SCIE","7,709","6.9","Q1","1.38","100"%,
"Drug Delivery and Translational Research","DRUG DELIV TRANSL RE","SPRINGER HEIDELBERG","2190-393X","2190-3948","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","10,319","6.9","Q1","1.38","39.34"%,
"JCI Insight","JCI INSIGHT","AMER SOC CLINICAL INVESTIGATION INC","N/A","2379-3708","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","32,354","6.8","Q1","1.62","99.54"%,
"MEDICAL JOURNAL OF AUSTRALIA","MED J AUSTRALIA","WILEY","0025-729X","1326-5377","MEDICINE, GENERAL & INTERNAL","SCIE","12,934","6.8","Q1","1.44","80.99"%,
"MAYO CLINIC PROCEEDINGS","MAYO CLIN PROC","ELSEVIER SCIENCE INC","0025-6196","1942-5546","MEDICINE, GENERAL & INTERNAL","SCIE","21,169","6.5","Q1","1.66","15.2"%,
"Molecular Therapy Nucleic Acids","MOL THER NUCL ACIDS","CELL PRESS","2162-2531","2162-2531","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","14,299","6.5","Q1","1.4","100"%,
"EXPERT REVIEWS IN MOLECULAR MEDICINE","EXPERT REV MOL MED","CAMBRIDGE UNIV PRESS","1462-3994","1462-3994","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,509","6.5","Q1","0.57","87.5"%,
"PALLIATIVE MEDICINE","PALLIATIVE MED","SAGE PUBLICATIONS LTD","0269-2163","1477-030X","MEDICINE, GENERAL & INTERNAL","SCIE","9,020","6.4","Q1","1.45","67.38"%,
"LIFE SCIENCES","LIFE SCI","PERGAMON-ELSEVIER SCIENCE LTD","0024-3205","1879-0631","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","51,400","6.4","Q1","1.39","17.97"%,
"CANCER GENE THERAPY","CANCER GENE THER","SPRINGERNATURE","0929-1903","1476-5500","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","5,943","6.4","Q1","1.11","44.92"%,
"Precision Clinical Medicine","PRECIS CLIN MED","OXFORD UNIV PRESS","2096-5303","2516-1571","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","920","6.4","Q1","1.01","100"%,
"Biomedical Journal","BIOMED J","ELSEVIER","2319-4170","2320-2890","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","3,768","6.3","Q1","0.96","100"%,
"Translational Research","TRANSL RES","ELSEVIER SCIENCE INC","1931-5244","1878-1810","MEDICINE, GENERAL & INTERNAL","SCIE","7,610","6.1","Q1","1.85","14.64"%,
"Translational Research","TRANSL RES","ELSEVIER SCIENCE INC","1931-5244","1878-1810","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,610","6.1","Q1","1.85","14.64"%,
"RESUSCITATION","RESUSCITATION","ELSEVIER IRELAND LTD","0300-9572","1873-1570","CRITICAL CARE MEDICINE","SCIE","19,671","6","Q1","1.79","37.76"%,
"American Journal of Medicine","AM J MED","ELSEVIER SCIENCE INC","0002-9343","1555-7162","MEDICINE, GENERAL & INTERNAL","SCIE","24,244","6","Q1","1.15","14.65"%,
"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","J ROY SOC MED","SAGE PUBLICATIONS LTD","0141-0768","1758-1095","MEDICINE, GENERAL & INTERNAL","SCIE","5,242","5.9","Q1","1.47","43.94"%,
"GENE THERAPY","GENE THER","SPRINGERNATURE","0969-7128","1476-5462","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","6,613","5.9","Q1","1.05","52.41"%,
"Medical Sciences","MED SCI-BASEL","MDPI","N/A","2076-3271","MEDICINE, GENERAL & INTERNAL","ESCI","3,390","5.9","Q1","0.23","100"%,
"DM DISEASE-A-MONTH","DM-DIS MON","MOSBY-ELSEVIER","0011-5029","1557-8194","MEDICINE, GENERAL & INTERNAL","SCIE","1,757","5.7","Q1","1.29","5.41"%,
"Systematic Reviews","SYST REV-LONDON","BMC","N/A","2046-4053","MEDICINE, GENERAL & INTERNAL","SCIE","30,659","5.7","Q1","1.03","99.26"%,
"Journal of Zhejiang University-SCIENCE B","J ZHEJIANG UNIV-SC B","ZHEJIANG UNIV PRESS","1673-1581","1862-1783","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","5,163","5.7","Q1","0.86","5.43"%,
"Journal of Intensive Medicine","J INTENSIV MED","ELSEVIER","2097-0250","2667-100X","CRITICAL CARE MEDICINE","ESCI","794","5.6","Q1","0.89","100"%,
"ALTEX-Alternatives to Animal Experimentation","ALTEX-ALTERN ANIM EX","SPEKTRUM AKADEMISCHER VERLAG-SPRINGER-VERLAG GMBH","1868-596X","1868-8551","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,408","5.5","Q1","1.41","98.36"%,
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","OXFORD UNIV PRESS INC","1195-1982","1708-8305","MEDICINE, GENERAL & INTERNAL","SCIE","4,177","5.5","Q1","1.18","36.82"%,
"Anaesthesia Critical Care & Pain Medicine","ANAESTH CRIT CARE PA","ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","2352-5568","2352-5568","CRITICAL CARE MEDICINE","SCIE","2,498","5.4","Q1","1.29","39.67"%,
"WIREs Mechanisms of Disease","WIRES MECH DIS","WILEY","2692-9368","2692-9368","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","838","5.4","Q1","0.78","44.64"%,
"ANNALS OF FAMILY MEDICINE","ANN FAM MED","ANNALS FAMILY MEDICINE","1544-1709","1544-1717","MEDICINE, GENERAL & INTERNAL","SCIE","6,900","5.3","Q1","2.31","98.7"%,
"Obesity Pillars","OBES PILLARS","ELSEVIER","N/A","2667-3681","MEDICINE, GENERAL & INTERNAL","ESCI","727","5.3","Q1","0.87","99.38"%,
"Medicine Advances","MED ADV","WILEY","2834-4391","2834-4405","MEDICINE, GENERAL & INTERNAL","ESCI","358","5.3","Q1","0.53","100"%,
"CLEVELAND CLINIC JOURNAL OF MEDICINE","CLEV CLIN J MED","CLEVELAND CLINIC","0891-1150","1939-2869","MEDICINE, GENERAL & INTERNAL","SCIE","2,974","5.2","Q1","0.74","99.13"%,
"BRITISH JOURNAL OF GENERAL PRACTICE","BRIT J GEN PRACT","ROYAL COLL GENERAL PRACTITIONERS","0960-1643","1478-5242","MEDICINE, GENERAL & INTERNAL","SCIE","10,475","5.1","Q1","2.19","97.55"%,
"Intensive and Critical Care Nursing","INTENS CRIT CARE NUR","ELSEVIER SCI LTD","0964-3397","1532-4036","CRITICAL CARE MEDICINE","SCIE","4,845","5.1","Q1","1.61","45.61"%,
"AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS","AMYLOID","TAYLOR & FRANCIS LTD","1350-6129","1744-2818","MEDICINE, GENERAL & INTERNAL","SCIE","2,531","5.1","Q1","1.27","19.35"%,
"AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS","AMYLOID","TAYLOR & FRANCIS LTD","1350-6129","1744-2818","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,531","5.1","Q2","1.27","19.35"%,
"Molecular Therapy Methods & Clinical Development","MOL THER METH CLIN D","CELL PRESS","N/A","2329-0501","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,600","5","Q2","1.15","100"%,
"JOURNAL OF MOLECULAR MEDICINE-JMM","J MOL MED","SPRINGER HEIDELBERG","0946-2716","1432-1440","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","9,084","5","Q2","0.89","37.5"%,
"Molecular Medicine Reports","MOL MED REP","SPANDIDOS PUBL LTD","1791-2997","1791-3004","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","27,831","5","Q2","0.86","93.42"%,
"Presse Medicale","PRESSE MED","MASSON EDITEUR","0755-4982","2213-0276","MEDICINE, GENERAL & INTERNAL","SCIE","2,271","5","Q1","0.69","27.55"%,
"Pediatric Critical Care Medicine","PEDIATR CRIT CARE ME","LIPPINCOTT WILLIAMS & WILKINS","1529-7535","1947-3893","CRITICAL CARE MEDICINE","SCIE","9,202","4.9","Q1","1.77","15.37"%,
"Cold Spring Harbor Perspectives in Medicine","CSH PERSPECT MED","COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","2157-1422","2157-1422","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","14,459","4.9","Q2","1.32","4.6"%,
"ANNALS OF MEDICINE","ANN MED","TAYLOR & FRANCIS LTD","0785-3890","1365-2060","MEDICINE, GENERAL & INTERNAL","SCIE","13,491","4.9","Q1","1.23","99.95"%,
"MOLECULAR PHARMACEUTICS","MOL PHARMACEUT","AMER CHEMICAL SOC","1543-8384","1543-8392","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","26,320","4.9","Q2","1.16","20.04"%,
"Stem Cell Reviews and Reports","STEM CELL REV REP","SPRINGER","2629-3269","2629-3277","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","5,725","4.9","Q2","0.88","38.68"%,
"Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej","POL ARCH INTERN MED","MEDYCYNA PRAKTYCZNA SP K SP ZOO","0032-3772","1897-9483","MEDICINE, GENERAL & INTERNAL","SCIE","2,653","4.8","Q1","0.84","100"%,
"EUROPEAN JOURNAL OF MEDICAL RESEARCH","EUR J MED RES","BMC","0949-2321","2047-783X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","10,316","4.8","Q2","0.81","99.96"%,
"AMERICAN JOURNAL OF PREVENTIVE MEDICINE","AM J PREV MED","ELSEVIER SCIENCE INC","0749-3797","1873-2607","MEDICINE, GENERAL & INTERNAL","SCIE","27,112","4.7","Q1","1.54","19.27"%,
"Journal of Evidence Based Medicine","J EVID-BASED MED","WILEY","1756-5383","1756-5391","MEDICINE, GENERAL & INTERNAL","SCIE","1,674","4.7","Q1","0.94","39.57"%,
"ADVANCES IN THERAPY","ADV THER","SPRINGER","0741-238X","1865-8652","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","12,070","4.7","Q2","0.89","78.29"%,
"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE","J CELL MOL MED","WILEY","1582-1838","1582-4934","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","31,945","4.7","Q2","0.8","100"%,
"HUMAN GENE THERAPY","HUM GENE THER","SAGE PUBLICATIONS INC","1043-0342","1557-7422","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","6,417","4.6","Q2","0.87","16.54"%,
"Mayo Clinic Proceedings-Innovations Quality & Outcomes","MAYO CLIN P INN QUAL","ELSEVIER","N/A","2542-4548","MEDICINE, GENERAL & INTERNAL","ESCI","1,543","4.5","Q1","1.39","100"%,
"MEDICAL CLINICS OF NORTH AMERICA","MED CLIN N AM","W B SAUNDERS CO-ELSEVIER INC","0025-7125","1557-9859","MEDICINE, GENERAL & INTERNAL","SCIE","6,839","4.5","Q1","1.16","4.29"%,
"Nucleic Acid Therapeutics","NUCLEIC ACID THER","SAGE PUBLICATIONS INC","2159-3337","2159-3345","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","1,950","4.5","Q2","0.89","36.14"%,
"CYTOTHERAPY","CYTOTHERAPY","ELSEVIER SCI LTD","1465-3249","1477-2566","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,413","4.5","Q2","0.82","33.33"%,
"Balkan Medical Journal","BALK MED J","GALENOS PUBL HOUSE","2146-3123","2146-3131","MEDICINE, GENERAL & INTERNAL","SCIE","1,505","4.5","Q1","0.81","98.47"%,
"Biomedicines","BIOMEDICINES","MDPI","N/A","2227-9059","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","62,243","4.5","Q2","0.77","99.97"%,
"CLINICAL AND EXPERIMENTAL MEDICINE","CLIN EXP MED","SPRINGER-VERLAG ITALIA SRL","1591-8890","1591-9528","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","5,556","4.5","Q2","0.73","80.45"%,
"Biologics-Targets & Therapy","BIOL-TARGETS THER","DOVE MEDICAL PRESS LTD","1177-5475","1177-5491","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,311","4.5","Q2","0.65","100"%,
"Dental and Medical Problems","DENT MED PROBL","WROCLAW MEDICAL UNIV","1644-387X","2300-9020","MEDICINE, GENERAL & INTERNAL","ESCI","1,812","4.3","Q1","1.38","100"%,
"WOUND REPAIR AND REGENERATION","WOUND REPAIR REGEN","WILEY","1067-1927","1524-475X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,554","4.3","Q2","1.15","46.03"%,
"Nanomedicine-Nanotechnology Biology and Medicine","NANOMED-NANOTECHNOL","ELSEVIER","1549-9634","1549-9642","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","11,020","4.3","Q2","0.83","23.04"%,
