"Journal Data Filtered By:  Selected Categories: CLINICAL NEUROLOGY;NEUROIMAGING;NEUROSCIENCES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Neuron","NEURON","CELL PRESS","0896-6273","1097-4199","NEUROSCIENCES","SCIE","108,660","16.9","Q1","3.79","35.44"%,
"TRENDS IN NEUROSCIENCES","TRENDS NEUROSCI","CELL PRESS","0166-2236","1878-108X","NEUROSCIENCES","SCIE","24,033","15.7","Q1","2.06","34.91"%,
"Annual Review of Neuroscience","ANNU REV NEUROSCI","ANNUAL REVIEWS","0147-006X","1545-4126","NEUROSCIENCES","SCIE","14,783","13.8","Q1","1.81","100"%,
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","OXFORD UNIV PRESS INC","1522-8517","1523-5866","CLINICAL NEUROLOGY","SCIE","27,081","13.1","Q1","2.79","39.62"%,
"Alzheimers & Dementia","ALZHEIMERS DEMENT","WILEY","1552-5260","1552-5279","CLINICAL NEUROLOGY","SCIE","47,030","12.8","Q1","3.27","90.78"%,
"BRAIN","BRAIN","OXFORD UNIV PRESS","0006-8950","1460-2156","CLINICAL NEUROLOGY","SCIE","68,603","12.6","Q1","3.29","55.34"%,
"BRAIN","BRAIN","OXFORD UNIV PRESS","0006-8950","1460-2156","NEUROSCIENCES","SCIE","68,603","12.6","Q1","3.29","55.34"%,
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","W B SAUNDERS CO LTD","1087-0792","1532-2955","CLINICAL NEUROLOGY","SCIE","18,260","11.6","Q1","2.06","37.02"%,
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","W B SAUNDERS CO LTD","1087-0792","1532-2955","NEUROSCIENCES","SCIE","18,260","11.6","Q1","2.06","37.02"%,
"Journal of Neuroinflammation","J NEUROINFLAMM","BMC","N/A","1742-2094","NEUROSCIENCES","SCIE","37,393","11.5","Q1","2.4","100"%,
"STROKE","STROKE","LIPPINCOTT WILLIAMS & WILKINS","0039-2499","1524-4628","CLINICAL NEUROLOGY","SCIE","76,353","11.1","Q1","2.4","16.12"%,
"Journal of Stroke","J STROKE","KOREAN STROKE SOC","2287-6391","2287-6405","CLINICAL NEUROLOGY","SCIE","2,943","11","Q1","1.89","100"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","NEUROSCIENCES","SCIE","45,718","10.4","Q1","2.08","59.47"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","CLINICAL NEUROLOGY","SCIE","26,249","10.3","Q1","3.14","81.98"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","NEUROSCIENCES","SCIE","26,249","10.3","Q1","3.14","81.98"%,
"Biological Psychiatry","BIOL PSYCHIAT","ELSEVIER SCIENCE INC","0006-3223","1873-2402","NEUROSCIENCES","SCIE","42,076","10.3","Q1","2.31","34.39"%,
"Degenerative Neurological and Neuromuscular Disease","DEGENER NEUROL NEURO","DOVE MEDICAL PRESS LTD","N/A","1179-9900","CLINICAL NEUROLOGY","ESCI","623","9.9","Q1","1.65","100"%,
"Brain Stimulation","BRAIN STIMUL","ELSEVIER SCIENCE INC","1935-861X","1876-4754","CLINICAL NEUROLOGY","SCIE","14,284","9.7","Q1","2.03","100"%,
"Brain Stimulation","BRAIN STIMUL","ELSEVIER SCIENCE INC","1935-861X","1876-4754","NEUROSCIENCES","SCIE","14,284","9.7","Q1","2.03","100"%,
"NEUROLOGY","NEUROLOGY","LIPPINCOTT WILLIAMS & WILKINS","0028-3878","1526-632X","CLINICAL NEUROLOGY","SCIE","103,094","8.9","Q1","2.34","25.42"%,
"Alzheimers Research & Therapy","ALZHEIMERS RES THER","BMC","N/A","1758-9193","CLINICAL NEUROLOGY","SCIE","15,362","8.9","Q1","2.31","99.87"%,
"Alzheimers Research & Therapy","ALZHEIMERS RES THER","BMC","N/A","1758-9193","NEUROSCIENCES","SCIE","15,362","8.9","Q1","2.31","99.87"%,
"JOURNAL OF HEADACHE AND PAIN","J HEADACHE PAIN","BMC","1129-2369","1129-2377","CLINICAL NEUROLOGY","SCIE","11,304","8.7","Q1","2.07","100"%,
"JOURNAL OF HEADACHE AND PAIN","J HEADACHE PAIN","BMC","1129-2369","1129-2377","NEUROSCIENCES","SCIE","11,304","8.7","Q1","2.07","100"%,
"npj Parkinsons Disease","NPJ PARKINSONS DIS","NATURE PORTFOLIO","N/A","2373-8057","NEUROSCIENCES","SCIE","7,996","8.5","Q1","2.1","99.87"%,
"NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","NEUROSCI BIOBEHAV R","PERGAMON-ELSEVIER SCIENCE LTD","0149-7634","1873-7528","NEUROSCIENCES","SCIE","53,277","8.5","Q1","1.91","53.5"%,
"Neural Regeneration Research","NEURAL REGEN RES","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1673-5374","1876-7958","NEUROSCIENCES","SCIE","18,350","8.5","Q1","1.17","98.77"%,
"Brain Informatics","BRAIN INFORM","SPRINGERNATURE","2198-4018","2198-4026","NEUROSCIENCES","ESCI","1,261","8.3","Q1","1.05","100"%,
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","CAMBRIDGE UNIV PRESS","0140-525X","1469-1825","NEUROSCIENCES","SCIE","13,204","8.2","Q1","2.25","0"%,
"NEUROPSYCHOLOGY REVIEW","NEUROPSYCHOL REV","SPRINGER","1040-7308","1573-6660","NEUROSCIENCES","SCIE","5,362","8.2","Q1","0.96","60"%,
"EUROPEAN NEUROPSYCHOPHARMACOLOGY","EUR NEUROPSYCHOPHARM","ELSEVIER","0924-977X","1873-7862","CLINICAL NEUROLOGY","SCIE","9,428","8.1","Q1","1.37","59.11"%,
"EUROPEAN NEUROPSYCHOPHARMACOLOGY","EUR NEUROPSYCHOPHARM","ELSEVIER","0924-977X","1873-7862","NEUROSCIENCES","SCIE","9,428","8.1","Q1","1.37","59.11"%,
"Neurology-Neuroimmunology & Neuroinflammation","NEUROL-NEUROIMMUNOL","LIPPINCOTT WILLIAMS & WILKINS","2332-7812","2332-7812","CLINICAL NEUROLOGY","SCIE","7,069","8","Q1","2.28","100"%,
"Neurology-Neuroimmunology & Neuroinflammation","NEUROL-NEUROIMMUNOL","LIPPINCOTT WILLIAMS & WILKINS","2332-7812","2332-7812","NEUROSCIENCES","SCIE","7,069","8","Q1","2.28","100"%,
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","J NEUROL NEUROSUR PS","BMJ PUBLISHING GROUP","0022-3050","1468-330X","CLINICAL NEUROLOGY","SCIE","32,201","7.7","Q1","2.44","40.25"%,
"MOVEMENT DISORDERS","MOVEMENT DISORD","WILEY","0885-3185","1531-8257","CLINICAL NEUROLOGY","SCIE","36,832","7.7","Q1","1.91","67.37"%,
"NEUROPSYCHOPHARMACOLOGY","NEUROPSYCHOPHARMACOL","SPRINGERNATURE","0893-133X","1740-634X","NEUROSCIENCES","SCIE","32,107","7.6","Q1","1.63","50.27"%,
"ANNALS OF NEUROLOGY","ANN NEUROL","WILEY","0364-5134","1531-8249","CLINICAL NEUROLOGY","SCIE","37,743","7.5","Q1","2.09","51.27"%,
"ANNALS OF NEUROLOGY","ANN NEUROL","WILEY","0364-5134","1531-8249","NEUROSCIENCES","SCIE","37,743","7.5","Q1","2.09","51.27"%,
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","WILEY","0742-3098","1600-079X","NEUROSCIENCES","SCIE","10,034","7.5","Q1","1.97","36.55"%,
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","ACADEMIC PRESS INC ELSEVIER SCIENCE","0889-1591","1090-2139","NEUROSCIENCES","SCIE","30,942","7.5","Q1","1.86","47.59"%,
"Neurotherapeutics","NEUROTHERAPEUTICS","ELSEVIER SCIENCE INC","1933-7213","1878-7479","CLINICAL NEUROLOGY","SCIE","11,851","7.4","Q1","1.94","84.52"%,
"Neurotherapeutics","NEUROTHERAPEUTICS","ELSEVIER SCIENCE INC","1933-7213","1878-7479","NEUROSCIENCES","SCIE","11,851","7.4","Q1","1.94","84.52"%,
"Alzheimers & Dementia-Translational Research & Clinical Interventions","ALZH DEMENT-TRCI","WILEY","N/A","2352-8737","CLINICAL NEUROLOGY","ESCI","4,462","7.4","Q1","1.57","99.64"%,
"Alzheimers & Dementia-Translational Research & Clinical Interventions","ALZH DEMENT-TRCI","WILEY","N/A","2352-8737","NEUROSCIENCES","ESCI","4,462","7.4","Q1","1.57","99.64"%,
"Psychoradiology","PSYCHORADIOLOGY","OXFORD UNIV PRESS","N/A","2634-4416","NEUROIMAGING","ESCI","582","7.4","Q1","1.04","100"%,
"Cognitive Computation","COGN COMPUT","SPRINGER","1866-9956","1866-9964","NEUROSCIENCES","SCIE","4,941","7.4","Q1","1","22.22"%,
"Current Neurology and Neuroscience Reports","CURR NEUROL NEUROSCI","SPRINGER","1528-4042","1534-6293","CLINICAL NEUROLOGY","SCIE","6,435","7.4","Q1","0.9","26.03"%,
"Current Neurology and Neuroscience Reports","CURR NEUROL NEUROSCI","SPRINGER","1528-4042","1534-6293","NEUROSCIENCES","SCIE","6,435","7.4","Q1","0.9","26.03"%,
"CELLULAR AND MOLECULAR NEUROBIOLOGY","CELL MOL NEUROBIOL","SPRINGER/PLENUM PUBLISHERS","0272-4340","1573-6830","NEUROSCIENCES","SCIE","8,134","7.4","Q1","0.78","69.45"%,
"Fluids and Barriers of the CNS","FLUIDS BARRIERS CNS","BMC","2045-8118","2045-8118","NEUROSCIENCES","SCIE","5,562","7.2","Q1","1.61","100"%,
"NEURAL NETWORKS","NEURAL NETWORKS","PERGAMON-ELSEVIER SCIENCE LTD","0893-6080","1879-2782","NEUROSCIENCES","SCIE","37,463","7.2","Q1","1.42","13.28"%,
"CNS DRUGS","CNS DRUGS","ADIS INT LTD","1172-7047","1179-1934","CLINICAL NEUROLOGY","SCIE","7,910","7","Q1","1.64","55.83"%,
"SLEEP","SLEEP","OXFORD UNIV PRESS INC","0161-8105","1550-9109","CLINICAL NEUROLOGY","SCIE","31,454","7","Q1","1.37","35.09"%,
"SLEEP","SLEEP","OXFORD UNIV PRESS INC","0161-8105","1550-9109","NEUROSCIENCES","SCIE","31,454","7","Q1","1.37","35.09"%,
"FRONTIERS IN NEUROENDOCRINOLOGY","FRONT NEUROENDOCRIN","ACADEMIC PRESS INC ELSEVIER SCIENCE","0091-3022","1095-6808","NEUROSCIENCES","SCIE","6,208","7","Q1","0.95","46.67"%,
"International Journal of Stroke","INT J STROKE","SAGE PUBLICATIONS LTD","1747-4930","1747-4949","CLINICAL NEUROLOGY","SCIE","9,802","6.9","Q1","1.78","28.17"%,
"Frontiers in Synaptic Neuroscience","FRONT SYNAPTIC NEURO","FRONTIERS MEDIA SA","1663-3563","1663-3563","NEUROSCIENCES","SCIE","1,817","6.9","Q1","0.72","100"%,
"Bioelectronic Medicine","BIOELECTRON MED-US","SPRINGERNATURE","N/A","2332-8886","NEUROSCIENCES","ESCI","703","6.8","Q1","1.06","100"%,
"Neuroscience Bulletin","NEUROSCI BULL","SPRINGER","1673-7067","1995-8218","NEUROSCIENCES","SCIE","6,594","6.8","Q1","1.05","30.08"%,
"JPAD-Journal of Prevention of Alzheimers Disease","JPAD-J PREV ALZHEIM","ELSEVIER","2274-5807","2426-0266","CLINICAL NEUROLOGY","SCIE","5,063","6.7","Q1","1.91","99.79"%,
"CNS Neuroscience & Therapeutics","CNS NEUROSCI THER","WILEY","1755-5930","1755-5949","NEUROSCIENCES","SCIE","14,945","6.6","Q1","1.38","99.93"%,
"Acta Neuropathologica Communications","ACTA NEUROPATHOL COM","BMC","2051-5960","2051-5960","NEUROSCIENCES","SCIE","11,791","6.5","Q1","1.51","100"%,
"VISUAL NEUROSCIENCE","VISUAL NEUROSCI","Maximum Academic Press","0952-5238","1469-8714","NEUROSCIENCES","SCIE","1,840","6.5","Q1","1.22","91.89"%,
"Annual Review of Vision Science","ANNU REV VIS SCI","ANNUAL REVIEWS","2374-4642","2374-4650","NEUROSCIENCES","SCIE","2,295","6.5","Q1","1.01","98.55"%,
"BrainX","BRAIN-X","WILEY","2835-3153","2835-3153","NEUROSCIENCES","ESCI","303","6.4","Q1","0.68","100"%,
"Journal of Neuroimmune Pharmacology","J NEUROIMMUNE PHARM","SPRINGER","1557-1890","1557-1904","NEUROSCIENCES","SCIE","3,663","6.1","Q1","1.3","37.37"%,
"Current Neuropharmacology","CURR NEUROPHARMACOL","BENTHAM SCIENCE PUBL LTD","1570-159X","1875-6190","NEUROSCIENCES","SCIE","10,789","6.1","Q1","0.89","6.99"%,
"Journal of NeuroEngineering and Rehabilitation","J NEUROENG REHABIL","BMC","N/A","1743-0003","NEUROSCIENCES","SCIE","12,887","6","Q1","1.54","100"%,
"NEUROBIOLOGY OF DISEASE","NEUROBIOL DIS","ELSEVIER","0969-9961","1095-953X","NEUROSCIENCES","SCIE","23,767","6","Q1","1.39","99.81"%,
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","PSYCHIAT CLIN NEUROS","WILEY","1323-1316","1440-1819","CLINICAL NEUROLOGY","SCIE","6,027","5.9","Q1","1.25","55.56"%,
"PSYCHIATRY AND CLINICAL NEUROSCIENCES","PSYCHIAT CLIN NEUROS","WILEY","1323-1316","1440-1819","NEUROSCIENCES","SCIE","6,027","5.9","Q1","1.25","55.56"%,
"Journal of Parkinsons Disease","J PARKINSON DIS","SAGE PUBLICATIONS INC","1877-7171","1877-718X","NEUROSCIENCES","SCIE","7,891","5.9","Q1","1.11","97.73"%,
"PAIN","PAIN","LIPPINCOTT WILLIAMS & WILKINS","0304-3959","1872-6623","CLINICAL NEUROLOGY","SCIE","43,560","5.8","Q1","1.88","32.12"%,
"PAIN","PAIN","LIPPINCOTT WILLIAMS & WILKINS","0304-3959","1872-6623","NEUROSCIENCES","SCIE","43,560","5.8","Q1","1.88","32.12"%,
"CEPHALALGIA","CEPHALALGIA","SAGE PUBLICATIONS LTD","0333-1024","1468-2982","CLINICAL NEUROLOGY","SCIE","13,119","5.8","Q1","1.29","93.69"%,
"CEPHALALGIA","CEPHALALGIA","SAGE PUBLICATIONS LTD","0333-1024","1468-2982","NEUROSCIENCES","SCIE","13,119","5.8","Q1","1.29","93.69"%,
"JOURNAL OF AFFECTIVE DISORDERS","J AFFECT DISORDERS","ELSEVIER","0165-0327","1573-2517","CLINICAL NEUROLOGY","SCIE","85,558","5.7","Q1","1.51","28.42"%,
"Molecular Autism","MOL AUTISM","BMC","2040-2392","2040-2392","NEUROSCIENCES","SCIE","5,034","5.7","Q1","1.44","100"%,
"EPILEPSIA","EPILEPSIA","WILEY","0013-9580","1528-1167","CLINICAL NEUROLOGY","SCIE","35,143","5.6","Q1","1.77","52.93"%,
"CURRENT OPINION IN NEUROBIOLOGY","CURR OPIN NEUROBIOL","CURRENT BIOLOGY LTD","0959-4388","1873-6882","NEUROSCIENCES","SCIE","16,556","5.6","Q1","1.42","56.33"%,
"GLIA","GLIA","WILEY","0894-1491","1098-1136","NEUROSCIENCES","SCIE","16,348","5.5","Q1","1.36","60.89"%,
"MOLECULAR NEUROBIOLOGY","MOL NEUROBIOL","SPRINGER","0893-7648","1559-1182","NEUROSCIENCES","SCIE","30,073","5.5","Q1","1.19","25.02"%,
"NEUROCHEMISTRY INTERNATIONAL","NEUROCHEM INT","PERGAMON-ELSEVIER SCIENCE LTD","0197-0186","1872-9754","NEUROSCIENCES","SCIE","11,562","5.5","Q1","1.14","21.08"%,
"JOURNAL OF NEUROLOGY","J NEUROL","SPRINGER HEIDELBERG","0340-5354","1432-1459","CLINICAL NEUROLOGY","SCIE","28,149","5.4","Q1","1.32","52.41"%,
"JOURNAL OF PSYCHOPHARMACOLOGY","J PSYCHOPHARMACOL","SAGE PUBLICATIONS LTD","0269-8811","1461-7285","CLINICAL NEUROLOGY","SCIE","10,348","5.3","Q1","1.41","46.88"%,
"JOURNAL OF PSYCHOPHARMACOLOGY","J PSYCHOPHARMACOL","SAGE PUBLICATIONS LTD","0269-8811","1461-7285","NEUROSCIENCES","SCIE","10,348","5.3","Q1","1.41","46.88"%,
"NEUROIMAGE","NEUROIMAGE","ACADEMIC PRESS INC ELSEVIER SCIENCE","1053-8119","1095-9572","NEUROIMAGING","SCIE","122,818","5.3","Q1","1.41","100"%,
"NEUROIMAGE","NEUROIMAGE","ACADEMIC PRESS INC ELSEVIER SCIENCE","1053-8119","1095-9572","NEUROSCIENCES","SCIE","122,818","5.3","Q1","1.41","100"%,
"BRAIN TOPOGRAPHY","BRAIN TOPOGR","SPRINGER","0896-0267","1573-6792","CLINICAL NEUROLOGY","SCIE","4,234","5.3","Q1","0.98","41.15"%,
"BRAIN TOPOGRAPHY","BRAIN TOPOGR","SPRINGER","0896-0267","1573-6792","NEUROSCIENCES","SCIE","4,234","5.3","Q1","0.98","41.15"%,
"European Stroke Journal","EUR STROKE J","OXFORD UNIV PRESS","2396-9873","2396-9881","CLINICAL NEUROLOGY","SCIE","3,511","5.2","Q1","1.25","39.25"%,
"Frontiers in Aging Neuroscience","FRONT AGING NEUROSCI","FRONTIERS MEDIA SA","1663-4365","1663-4365","NEUROSCIENCES","SCIE","35,971","5.2","Q1","0.99","100"%,
"Brain Circulation","BRAIN CIRC","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2394-8108","2455-4626","CLINICAL NEUROLOGY","ESCI","1,017","5.2","Q1","0.91","100"%,
"Spine Journal","SPINE J","ELSEVIER SCIENCE INC","1529-9430","1878-1632","CLINICAL NEUROLOGY","SCIE","16,410","5.1","Q1","1.78","16.92"%,
"Dialogues in Clinical Neuroscience","DIALOGUES CLIN NEURO","TAYLOR & FRANCIS LTD","1294-8322","1958-5969","NEUROSCIENCES","SCIE","6,839","5.1","Q1","0.94","100"%,
"Neurospine","NEUROSPINE","KOREAN SPINAL NEUROSURGERY SOC","2586-6583","2586-6591","CLINICAL NEUROLOGY","SCIE","3,054","5","Q1","1.56","99.68"%,
"BRAIN PATHOLOGY","BRAIN PATHOL","WILEY","1015-6305","1750-3639","CLINICAL NEUROLOGY","SCIE","6,585","5","Q1","1.45","100"%,
"BRAIN PATHOLOGY","BRAIN PATHOL","WILEY","1015-6305","1750-3639","NEUROSCIENCES","SCIE","6,585","5","Q1","1.45","100"%,
"Psychedelic Medicine","PSYCHEDELIC MED","SAGE PUBLICATIONS INC","2831-4425","2831-4433","NEUROSCIENCES","ESCI","277","5","Q1","1.01","7.5"%,
"JOURNAL OF NEUROENDOCRINOLOGY","J NEUROENDOCRINOL","WILEY","0953-8194","1365-2826","NEUROSCIENCES","SCIE","6,489","5","Q1","0.88","48.12"%,
"Biological Psychiatry-Cognitive Neuroscience and Neuroimaging","BIOL PSYCHIAT-COGN N","ELSEVIER","2451-9022","2451-9030","NEUROSCIENCES","SCIE","5,456","4.9","Q1","1.33","39.71"%,
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring","ALZH DEMENT-DADM","WILEY","N/A","2352-8729","CLINICAL NEUROLOGY","ESCI","4,349","4.9","Q1","1.25","100"%,
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring","ALZH DEMENT-DADM","WILEY","N/A","2352-8729","NEUROSCIENCES","ESCI","4,349","4.9","Q1","1.25","100"%,
"International Journal of Tryptophan Research","INT J TRYPTOPHAN RES","SAGE PUBLICATIONS LTD","1178-6469","1178-6469","NEUROSCIENCES","ESCI","1,064","4.9","Q1","0.85","100"%,
"Stroke and Vascular Neurology","STROKE VASC NEUROL","BMJ PUBLISHING GROUP","2059-8688","2059-8696","CLINICAL NEUROLOGY","SCIE","3,496","4.8","Q1","1.32","100"%,
"Sleep Health","SLEEP HEALTH","ELSEVIER","2352-7218","2352-7226","CLINICAL NEUROLOGY","SCIE","5,144","4.8","Q1","1.26","22.86"%,
"EXPERIMENTAL NEUROLOGY","EXP NEUROL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0014-4886","1090-2430","NEUROSCIENCES","SCIE","21,858","4.8","Q1","1.09","25.38"%,
"INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","INT J NEUROPSYCHOPH","OXFORD UNIV PRESS","1461-1457","1469-5111","CLINICAL NEUROLOGY","SCIE","7,498","4.8","Q1","1.07","100"%,
"INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","INT J NEUROPSYCHOPH","OXFORD UNIV PRESS","1461-1457","1469-5111","NEUROSCIENCES","SCIE","7,498","4.8","Q1","1.07","100"%,
"JOURNAL OF PSYCHIATRY & NEUROSCIENCE","J PSYCHIATR NEUROSCI","CANADIAN SCIENCE PUBLISHING","1180-4882","1488-2434","NEUROSCIENCES","SCIE","4,019","4.8","Q1","1.01","100"%,
"REVIEWS IN THE NEUROSCIENCES","REV NEUROSCIENCE","WALTER DE GRUYTER GMBH","0334-1763","2191-0200","NEUROSCIENCES","SCIE","3,666","4.8","Q1","0.9","20"%,
"Current Pain and Headache Reports","CURR PAIN HEADACHE R","SPRINGER","1531-3433","1534-3081","CLINICAL NEUROLOGY","SCIE","4,942","4.8","Q1","0.75","19.54"%,
"NEUROPHARMACOLOGY","NEUROPHARMACOLOGY","PERGAMON-ELSEVIER SCIENCE LTD","0028-3908","1873-7064","NEUROSCIENCES","SCIE","24,274","4.7","Q1","1.29","30.46"%,
"Neurology and Therapy","NEUROL THER","SPRINGER LONDON LTD","2193-8253","2193-6536","CLINICAL NEUROLOGY","SCIE","3,130","4.7","Q1","1.26","100"%,
"IEEE Transactions on Cognitive and Developmental Systems","IEEE T COGN DEV SYST","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2379-8920","2379-8939","NEUROSCIENCES","SCIE","4,134","4.7","Q1","1.11","5.21"%,
"JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM","J CEREBR BLOOD F MET","SAGE PUBLICATIONS INC","0271-678X","1559-7016","NEUROSCIENCES","SCIE","21,191","4.7","Q1","1.08","39.82"%,
"CURRENT OPINION IN NEUROLOGY","CURR OPIN NEUROL","LIPPINCOTT WILLIAMS & WILKINS","1350-7540","1473-6551","CLINICAL NEUROLOGY","SCIE","6,465","4.7","Q1","0.91","18.97"%,
"CURRENT OPINION IN NEUROLOGY","CURR OPIN NEUROL","LIPPINCOTT WILLIAMS & WILKINS","1350-7540","1473-6551","NEUROSCIENCES","SCIE","6,465","4.7","Q1","0.91","18.97"%,
"Developmental Cognitive Neuroscience","DEV COGN NEUROS-NETH","ELSEVIER SCI LTD","1878-9293","1878-9307","NEUROSCIENCES","SCIE","8,322","4.6","Q1","1.53","100"%,
"PROGRESS IN NEUROBIOLOGY","PROG NEUROBIOL","PERGAMON-ELSEVIER SCIENCE LTD","0301-0082","1873-5118","NEUROSCIENCES","SCIE","14,421","4.6","Q1","1.29","50"%,
"JOURNAL OF PHYSIOLOGY-LONDON","J PHYSIOL-LONDON","WILEY","0022-3751","1469-7793","NEUROSCIENCES","SCIE","50,248","4.6","Q1","1.22","58.48"%,
"Neuro-Oncology Advances","NEURO-ONCOL ADV","OXFORD UNIV PRESS","N/A","2632-2498","CLINICAL NEUROLOGY","ESCI","4,099","4.6","Q1","0.98","100"%,
"JOURNAL OF SLEEP RESEARCH","J SLEEP RES","WILEY","0962-1105","1365-2869","CLINICAL NEUROLOGY","SCIE","12,151","4.6","Q1","0.92","63.24"%,
"JOURNAL OF SLEEP RESEARCH","J SLEEP RES","WILEY","0962-1105","1365-2869","NEUROSCIENCES","SCIE","12,151","4.6","Q1","0.92","63.24"%,
"CNS SPECTRUMS","CNS SPECTRUMS","CAMBRIDGE UNIV PRESS","1092-8529","2165-6509","CLINICAL NEUROLOGY","SCIE","4,296","4.6","Q1","0.86","81.25"%,
"CLINICAL AUTONOMIC RESEARCH","CLIN AUTON RES","SPRINGER HEIDELBERG","0959-9851","1619-1560","CLINICAL NEUROLOGY","SCIE","2,863","4.6","Q1","0.79","35.9"%,
"CLINICAL AUTONOMIC RESEARCH","CLIN AUTON RES","SPRINGER HEIDELBERG","0959-9851","1619-1560","NEUROSCIENCES","SCIE","2,863","4.6","Q1","0.79","35.9"%,
"JOURNAL OF NEUROCHEMISTRY","J NEUROCHEM","WILEY","0022-3042","1471-4159","NEUROSCIENCES","SCIE","29,950","4.6","Q1","0.78","47.25"%,
"Epilepsy Currents","EPILEPSY CURR","SAGE PUBLICATIONS INC","1535-7597","1535-7511","CLINICAL NEUROLOGY","SCIE","1,378","4.6","Q1","0.51","100"%,
"Brain Communications","BRAIN COMMUN","OXFORD UNIV PRESS","N/A","2632-1297","CLINICAL NEUROLOGY","ESCI","8,452","4.5","Q1","1.18","99.91"%,
"Brain Communications","BRAIN COMMUN","OXFORD UNIV PRESS","N/A","2632-1297","NEUROSCIENCES","ESCI","8,452","4.5","Q2","1.18","99.91"%,
"BRAIN RESEARCH BULLETIN","BRAIN RES BULL","PERGAMON-ELSEVIER SCIENCE LTD","0361-9230","1873-2747","NEUROSCIENCES","SCIE","13,403","4.5","Q2","1.01","100"%,
"Cognitive Neurodynamics","COGN NEURODYNAMICS","SPRINGER","1871-4080","1871-4099","NEUROSCIENCES","SCIE","3,663","4.5","Q2","1.01","12.66"%,
